order_id,customer_id,product,amount
1,1001,Product-1,11
2,1002,Product-2,12
3,1003,Product-3,13
4,1004,Product-4,14
5,1005,Product-5,15
6,1006,Product-6,16
7,1007,Product-7,17
8,1008,Product-8,18
9,1009,Product-9,19
10,1010,Product-10,20
11,1011,Product-11,21
12,1012,Product-12,22
13,1013,Product-13,23
14,1014,Product-14,24
15,1015,Product-15,25
16,1016,Product-16,26
17,1017,Product-17,27
18,1018,Product-18,28
19,1019,Product-19,29
20,1020,Product-20,30
21,1021,Product-21,31
22,1022,Product-22,32
23,1023,Product-23,33
24,1024,Product-24,34
25,1025,Product-25,35
26,1026,Product-26,36
27,1027,Product-27,37
28,1028,Product-28,38
29,1029,Product-29,39
30,1030,Product-30,40
31,1031,Product-31,41
32,1032,Product-32,42
33,1033,Product-33,43
34,1034,Product-34,44
35,1035,Product-35,45
36,1036,Product-36,46
37,1037,Product-37,47
38,1038,Product-38,48
39,1039,Product-39,49
40,1040,Product-40,50
41,1041,Product-41,51
42,1042,Product-42,52
43,1043,Product-43,53
44,1044,Product-44,54
45,1045,Product-45,55
46,1046,Product-46,56
47,1047,Product-47,57
48,1048,Product-48,58
49,1049,Product-49,59
50,1050,Product-50,60
51,1051,Product-51,61
52,1052,Product-52,62
53,1053,Product-53,63
54,1054,Product-54,64
55,1055,Product-55,65
56,1056,Product-56,66
57,1057,Product-57,67
58,1058,Product-58,68
59,1059,Product-59,69
60,1060,Product-60,70
61,1061,Product-61,71
62,1062,Product-62,72
63,1063,Product-63,73
64,1064,Product-64,74
65,1065,Product-65,75
66,1066,Product-66,76
67,1067,Product-67,77
68,1068,Product-68,78
69,1069,Product-69,79
70,1070,Product-70,80
71,1071,Product-71,81
72,1072,Product-72,82
73,1073,Product-73,83
74,1074,Product-74,84
75,1075,Product-75,85
76,1076,Product-76,86
77,1077,Product-77,87
78,1078,Product-78,88
79,1079,Product-79,89
80,1080,Product-80,90
81,1081,Product-81,91
82,1082,Product-82,92
83,1083,Product-83,93
84,1084,Product-84,94
85,1085,Product-85,95
86,1086,Product-86,96
87,1087,Product-87,97
88,1088,Product-88,98
89,1089,Product-89,99
90,1090,Product-90,100
91,1091,Product-91,101
92,1092,Product-92,102
93,1093,Product-93,103
94,1094,Product-94,104
95,1095,Product-95,105
96,1096,Product-96,106
97,1097,Product-97,107
98,1098,Product-98,108
99,1099,Product-99,109
100,1100,Product-0,110
101,1101,Product-1,111
102,1102,Product-2,112
103,1103,Product-3,113
104,1104,Product-4,114
105,1105,Product-5,115
106,1106,Product-6,116
107,1107,Product-7,117
108,1108,Product-8,118
109,1109,Product-9,119
110,1110,Product-10,120
111,1111,Product-11,121
112,1112,Product-12,122
113,1113,Product-13,123
114,1114,Product-14,124
115,1115,Product-15,125
116,1116,Product-16,126
117,1117,Product-17,127
118,1118,Product-18,128
119,1119,Product-19,129
120,1120,Product-20,130
121,1121,Product-21,131
122,1122,Product-22,132
123,1123,Product-23,133
124,1124,Product-24,134
125,1125,Product-25,135
126,1126,Product-26,136
127,1127,Product-27,137
128,1128,Product-28,138
129,1129,Product-29,139
130,1130,Product-30,140
131,1131,Product-31,141
132,1132,Product-32,142
133,1133,Product-33,143
134,1134,Product-34,144
135,1135,Product-35,145
136,1136,Product-36,146
137,1137,Product-37,147
138,1138,Product-38,148
139,1139,Product-39,149
140,1140,Product-40,150
141,1141,Product-41,151
142,1142,Product-42,152
143,1143,Product-43,153
144,1144,Product-44,154
145,1145,Product-45,155
146,1146,Product-46,156
147,1147,Product-47,157
148,1148,Product-48,158
149,1149,Product-49,159
150,1150,Product-50,160
151,1151,Product-51,161
152,1152,Product-52,162
153,1153,Product-53,163
154,1154,Product-54,164
155,1155,Product-55,165
156,1156,Product-56,166
157,1157,Product-57,167
158,1158,Product-58,168
159,1159,Product-59,169
160,1160,Product-60,170
161,1161,Product-61,171
162,1162,Product-62,172
163,1163,Product-63,173
164,1164,Product-64,174
165,1165,Product-65,175
166,1166,Product-66,176
167,1167,Product-67,177
168,1168,Product-68,178
169,1169,Product-69,179
170,1170,Product-70,180
171,1171,Product-71,181
172,1172,Product-72,182
173,1173,Product-73,183
174,1174,Product-74,184
175,1175,Product-75,185
176,1176,Product-76,186
177,1177,Product-77,187
178,1178,Product-78,188
179,1179,Product-79,189
180,1180,Product-80,190
181,1181,Product-81,191
182,1182,Product-82,192
183,1183,Product-83,193
184,1184,Product-84,194
185,1185,Product-85,195
186,1186,Product-86,196
187,1187,Product-87,197
188,1188,Product-88,198
189,1189,Product-89,199
190,1190,Product-90,200
191,1191,Product-91,201
192,1192,Product-92,202
193,1193,Product-93,203
194,1194,Product-94,204
195,1195,Product-95,205
196,1196,Product-96,206
197,1197,Product-97,207
198,1198,Product-98,208
199,1199,Product-99,209
200,1200,Product-0,210
201,1201,Product-1,211
202,1202,Product-2,212
203,1203,Product-3,213
204,1204,Product-4,214
205,1205,Product-5,215
206,1206,Product-6,216
207,1207,Product-7,217
208,1208,Product-8,218
209,1209,Product-9,219
210,1210,Product-10,220
211,1211,Product-11,221
212,1212,Product-12,222
213,1213,Product-13,223
214,1214,Product-14,224
215,1215,Product-15,225
216,1216,Product-16,226
217,1217,Product-17,227
218,1218,Product-18,228
219,1219,Product-19,229
220,1220,Product-20,230
221,1221,Product-21,231
222,1222,Product-22,232
223,1223,Product-23,233
224,1224,Product-24,234
225,1225,Product-25,235
226,1226,Product-26,236
227,1227,Product-27,237
228,1228,Product-28,238
229,1229,Product-29,239
230,1230,Product-30,240
231,1231,Product-31,241
232,1232,Product-32,242
233,1233,Product-33,243
234,1234,Product-34,244
235,1235,Product-35,245
236,1236,Product-36,246
237,1237,Product-37,247
238,1238,Product-38,248
239,1239,Product-39,249
240,1240,Product-40,250
241,1241,Product-41,251
242,1242,Product-42,252
243,1243,Product-43,253
244,1244,Product-44,254
245,1245,Product-45,255
246,1246,Product-46,256
247,1247,Product-47,257
248,1248,Product-48,258
249,1249,Product-49,259
250,1250,Product-50,260
251,1251,Product-51,261
252,1252,Product-52,262
253,1253,Product-53,263
254,1254,Product-54,264
255,1255,Product-55,265
256,1256,Product-56,266
257,1257,Product-57,267
258,1258,Product-58,268
259,1259,Product-59,269
260,1260,Product-60,270
261,1261,Product-61,271
262,1262,Product-62,272
263,1263,Product-63,273
264,1264,Product-64,274
265,1265,Product-65,275
266,1266,Product-66,276
267,1267,Product-67,277
268,1268,Product-68,278
269,1269,Product-69,279
270,1270,Product-70,280
271,1271,Product-71,281
272,1272,Product-72,282
273,1273,Product-73,283
274,1274,Product-74,284
275,1275,Product-75,285
276,1276,Product-76,286
277,1277,Product-77,287
278,1278,Product-78,288
279,1279,Product-79,289
280,1280,Product-80,290
281,1281,Product-81,291
282,1282,Product-82,292
283,1283,Product-83,293
284,1284,Product-84,294
285,1285,Product-85,295
286,1286,Product-86,296
287,1287,Product-87,297
288,1288,Product-88,298
289,1289,Product-89,299
290,1290,Product-90,300
291,1291,Product-91,301
292,1292,Product-92,302
293,1293,Product-93,303
294,1294,Product-94,304
295,1295,Product-95,305
296,1296,Product-96,306
297,1297,Product-97,307
298,1298,Product-98,308
299,1299,Product-99,309
300,1300,Product-0,310
301,1301,Product-1,311
302,1302,Product-2,312
303,1303,Product-3,313
304,1304,Product-4,314
305,1305,Product-5,315
306,1306,Product-6,316
307,1307,Product-7,317
308,1308,Product-8,318
309,1309,Product-9,319
310,1310,Product-10,320
311,1311,Product-11,321
312,1312,Product-12,322
313,1313,Product-13,323
314,1314,Product-14,324
315,1315,Product-15,325
316,1316,Product-16,326
317,1317,Product-17,327
318,1318,Product-18,328
319,1319,Product-19,329
320,1320,Product-20,330
321,1321,Product-21,331
